comName,sciName,measure_name,time,detections_cnt
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-12T23:00:00,9
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-13T00:00:00,9
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-13T14:00:00,5
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-13T15:00:00,7
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-13T16:00:00,14
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-13T17:00:00,5
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-13T18:00:00,5
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-13T22:00:00,3
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-14T00:00:00,3
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-15T01:00:00,2
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-15T15:00:00,12
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-15T16:00:00,4
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-15T17:00:00,4
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-15T18:00:00,2
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-15T23:00:00,15
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-16T00:00:00,4
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-16T01:00:00,4
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-16T14:00:00,3
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-16T15:00:00,9
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-17T00:00:00,4
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-17T14:00:00,6
Oak Titmouse,Baeolophus inornatus,Confidence,2024-02-17T15:00:00,22
Says Phoebe,Sayornis saya,Confidence,2024-02-14T15:00:00,2
Ruby-crowned Kinglet,Corthylio calendula,Confidence,2024-02-13T20:00:00,2
California Towhee,Melozone crissalis,Confidence,2024-02-11T14:00:00,19
California Towhee,Melozone crissalis,Confidence,2024-02-11T15:00:00,4
California Towhee,Melozone crissalis,Confidence,2024-02-11T16:00:00,2
California Towhee,Melozone crissalis,Confidence,2024-02-12T14:00:00,12
California Towhee,Melozone crissalis,Confidence,2024-02-13T01:00:00,2
California Towhee,Melozone crissalis,Confidence,2024-02-13T14:00:00,64
California Towhee,Melozone crissalis,Confidence,2024-02-13T15:00:00,12
California Towhee,Melozone crissalis,Confidence,2024-02-13T16:00:00,63
California Towhee,Melozone crissalis,Confidence,2024-02-13T17:00:00,18
California Towhee,Melozone crissalis,Confidence,2024-02-14T01:00:00,2
California Towhee,Melozone crissalis,Confidence,2024-02-14T14:00:00,11
California Towhee,Melozone crissalis,Confidence,2024-02-15T01:00:00,23
California Towhee,Melozone crissalis,Confidence,2024-02-15T14:00:00,22
California Towhee,Melozone crissalis,Confidence,2024-02-15T15:00:00,2
